"Area","Item","Expected","Actual","Status","Severity"
"List","CRM - New Signals","Present","Present","Pass","Fail"
"Column","CRM - New Signals.SignalStatus","Choice","Choice","Pass","Fail"
"Column","CRM - New Signals.SignalType","Choice","Choice","Pass","Fail"
"Column","CRM - New Signals.IntakeSource","Choice","Choice","Pass","Fail"
"Column","CRM - New Signals.Priority","Choice","Choice","Pass","Fail"
"Column","CRM - New Signals.PersonName","Text","Text","Pass","Fail"
"Column","CRM - New Signals.PersonEmail","Text","Text","Pass","Fail"
"Column","CRM - New Signals.OrganizationName","Text","Text","Pass","Fail"
"Column","CRM - New Signals.NeedSummary","Note","Note","Pass","Fail"
"Column","CRM - New Signals.SourceText","Note","Note","Pass","Fail"
"Column","CRM - New Signals.NextAction","Note","Note","Pass","Fail"
"Column","CRM - New Signals.FollowUpDueDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - New Signals.RelatedLink","URL","URL","Pass","Fail"
"Column","CRM - New Signals.ItemOwner","User","User","Pass","Fail"
"Column","CRM - New Signals.op_Reminders","MultiChoice","MultiChoice","Pass","Fail"
"Column","CRM - New Signals.op_TrackOn","MultiChoice","MultiChoice","Pass","Fail"
"Column","CRM - New Signals.op_CalendarEventId","Text","Text","Pass","Fail"
"Column","CRM - New Signals.op_PlannerTaskId","Text","Text","Pass","Fail"
"Column","CRM - New Signals.op_LastSyncedDue","DateTime","DateTime","Pass","Fail"
"Column","CRM - New Signals.op_SyncNote","Text","Text","Pass","Fail"
"View","CRM - New Signals / New Signal Queue","Present + query","Present + query","Pass","Fail"
"View","CRM - New Signals / Signals Needing Follow-up","Present + query","Present + query","Pass","Fail"
"View","CRM - New Signals / Converted / Closed Signals","Present + query","Present + query","Pass","Fail"
"List","CRM - Action Queue","Present","Present","Pass","Fail"
"Column","CRM - Action Queue.RecordKey","Text","Text","Pass","Fail"
"Column","CRM - Action Queue.ItemOwner","User","User","Pass","Fail"
"Column","CRM - Action Queue.ActionType","Choice","Choice","Pass","Fail"
"Column","CRM - Action Queue.ActionStatus","Choice","Choice","Pass","Fail"
"Column","CRM - Action Queue.Priority","Choice","Choice","Pass","Fail"
"Column","CRM - Action Queue.DueDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Action Queue.CompletedDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Action Queue.NextAction","Note","Note","Pass","Fail"
"Column","CRM - Action Queue.Outcome","Note","Note","Pass","Fail"
"Column","CRM - Action Queue.BlocksDecision","Boolean","Boolean","Pass","Fail"
"Column","CRM - Action Queue.BlocksGoLive","Boolean","Boolean","Pass","Fail"
"Column","CRM - Action Queue.SourceSystem","Choice","Choice","Pass","Fail"
"Lookup","CRM - Action Queue.OrganizationLookup","Lookup -> CRM - Organizations","Lookup","Pass","Fail"
"Lookup","CRM - Action Queue.EngagementLookup","Lookup -> CRM - Engagements","Lookup","Pass","Fail"
"Lookup","CRM - Action Queue.ContactLookup","Lookup -> CRM - Contacts","Lookup","Pass","Fail"
"Lookup","CRM - Action Queue.TouchpointLookup","Lookup -> CRM - Touchpoints","Lookup","Pass","Fail"
"View","CRM - Action Queue / Open CRM Actions","Present + query","Present + query","Pass","Fail"
"View","CRM - Action Queue / Due / Overdue Actions","Present + query","Present + query","Pass","Fail"
"View","CRM - Action Queue / Decision / Go-Live Blockers","Present + query","Present + query","Pass","Fail"
"View","CRM - Action Queue / Completed Actions","Present + query","Present + query","Pass","Fail"
"List","CRM - Qualification","Present","Present","Pass","Fail"
"Column","CRM - Qualification.SignalSource","Choice","Choice","Pass","Fail"
"Column","CRM - Qualification.QualificationStatus","Choice","Choice","Pass","Fail"
"Column","CRM - Qualification.FitScore","Number","Number","Pass","Fail"
"Column","CRM - Qualification.Urgency","Choice","Choice","Pass","Fail"
"Column","CRM - Qualification.BudgetSignal","Choice","Choice","Pass","Fail"
"Column","CRM - Qualification.AuthoritySignal","Choice","Choice","Pass","Fail"
"Column","CRM - Qualification.NeedSummary","Note","Note","Pass","Fail"
"Column","CRM - Qualification.RecommendedPackage","Choice","Choice","Pass","Fail"
"Column","CRM - Qualification.DisqualificationReason","Choice","Choice","Pass","Fail"
"Column","CRM - Qualification.NextAction","Note","Note","Pass","Fail"
"Column","CRM - Qualification.NextActionDueDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Qualification.ItemOwner","User","User","Pass","Fail"
"Lookup","CRM - Qualification.OrganizationLookup","Lookup -> CRM - Organizations","Lookup","Pass","Fail"
"Lookup","CRM - Qualification.ContactLookup","Lookup -> CRM - Contacts","Lookup","Pass","Fail"
"Lookup","CRM - Qualification.EngagementLookup","Lookup -> CRM - Engagements","Lookup","Pass","Fail"
"View","CRM - Qualification / Qualification Triage","Present + query","Present + query","Pass","Fail"
"View","CRM - Qualification / Qualified / Proposal Recommended","Present + query","Present + query","Pass","Fail"
"View","CRM - Qualification / Nurture / Disqualified","Present + query","Present + query","Pass","Fail"
"List","CRM - Meeting Notes","Present","Present","Pass","Fail"
"Column","CRM - Meeting Notes.MeetingDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Meeting Notes.MeetingType","Choice","Choice","Pass","Fail"
"Column","CRM - Meeting Notes.MeetingStatus","Choice","Choice","Pass","Fail"
"Column","CRM - Meeting Notes.Agenda","Note","Note","Pass","Fail"
"Column","CRM - Meeting Notes.Notes","Note","Note","Pass","Fail"
"Column","CRM - Meeting Notes.Commitments","Note","Note","Pass","Fail"
"Column","CRM - Meeting Notes.Decisions","Note","Note","Pass","Fail"
"Column","CRM - Meeting Notes.FollowUpRequired","Boolean","Boolean","Pass","Fail"
"Column","CRM - Meeting Notes.FollowUpDueDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Meeting Notes.Sentiment","Choice","Choice","Pass","Fail"
"Column","CRM - Meeting Notes.RelatedLink","URL","URL","Pass","Fail"
"Column","CRM - Meeting Notes.ItemOwner","User","User","Pass","Fail"
"Lookup","CRM - Meeting Notes.OrganizationLookup","Lookup -> CRM - Organizations","Lookup","Pass","Fail"
"Lookup","CRM - Meeting Notes.EngagementLookup","Lookup -> CRM - Engagements","Lookup","Pass","Fail"
"Lookup","CRM - Meeting Notes.PrimaryContactLookup","Lookup -> CRM - Contacts","Lookup","Pass","Fail"
"View","CRM - Meeting Notes / Upcoming Meetings","Present + query","Present + query","Pass","Fail"
"View","CRM - Meeting Notes / Meeting Prep Needed","Present + query","Present + query","Pass","Fail"
"View","CRM - Meeting Notes / Meeting Debrief Needed","Present + query","Present + query","Pass","Fail"
"View","CRM - Meeting Notes / Meeting History","Present + query","Present + query","Pass","Fail"
"List","CRM - Artifacts","Present","Present","Pass","Fail"
"Column","CRM - Artifacts.ArtifactType","Choice","Choice","Pass","Fail"
"Column","CRM - Artifacts.ArtifactStatus","Choice","Choice","Pass","Fail"
"Column","CRM - Artifacts.ArtifactLink","URL","URL","Pass","Fail"
"Column","CRM - Artifacts.VersionLabel","Text","Text","Pass","Fail"
"Column","CRM - Artifacts.EvidenceDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Artifacts.ReviewDueDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Artifacts.ApprovedForClientUse","Boolean","Boolean","Pass","Fail"
"Column","CRM - Artifacts.Notes","Note","Note","Pass","Fail"
"Column","CRM - Artifacts.ItemOwner","User","User","Pass","Fail"
"Lookup","CRM - Artifacts.OrganizationLookup","Lookup -> CRM - Organizations","Lookup","Pass","Fail"
"Lookup","CRM - Artifacts.EngagementLookup","Lookup -> CRM - Engagements","Lookup","Pass","Fail"
"View","CRM - Artifacts / Active Artifacts","Present + query","Present + query","Pass","Fail"
"View","CRM - Artifacts / Proposal / Scope Artifacts","Present + query","Present + query","Pass","Fail"
"View","CRM - Artifacts / Handoff Evidence","Present + query","Present + query","Pass","Fail"
"View","CRM - Artifacts / Review Due","Present + query","Present + query","Pass","Fail"
"List","CRM - Health Reviews","Present","Present","Pass","Fail"
"Column","CRM - Health Reviews.ReviewDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Health Reviews.NextReviewDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Health Reviews.RelationshipHealth","Choice","Choice","Pass","Fail"
"Column","CRM - Health Reviews.DeliveryHealth","Choice","Choice","Pass","Fail"
"Column","CRM - Health Reviews.CommercialHealth","Choice","Choice","Pass","Fail"
"Column","CRM - Health Reviews.HealthScore","Number","Number","Pass","Fail"
"Column","CRM - Health Reviews.RenewalSignal","Choice","Choice","Pass","Fail"
"Column","CRM - Health Reviews.ExpansionSignal","Choice","Choice","Pass","Fail"
"Column","CRM - Health Reviews.RiskSummary","Note","Note","Pass","Fail"
"Column","CRM - Health Reviews.WinSummary","Note","Note","Pass","Fail"
"Column","CRM - Health Reviews.NextAction","Note","Note","Pass","Fail"
"Column","CRM - Health Reviews.ItemOwner","User","User","Pass","Fail"
"Lookup","CRM - Health Reviews.OrganizationLookup","Lookup -> CRM - Organizations","Lookup","Pass","Fail"
"Lookup","CRM - Health Reviews.EngagementLookup","Lookup -> CRM - Engagements","Lookup","Pass","Fail"
"View","CRM - Health Reviews / Health Review Queue","Present + query","Present + query","Pass","Fail"
"View","CRM - Health Reviews / At Risk Health Reviews","Present + query","Present + query","Pass","Fail"
"View","CRM - Health Reviews / Expansion Signals","Present + query","Present + query","Pass","Fail"
"View","CRM - Health Reviews / Health Review History","Present + query","Present + query","Pass","Fail"
"List","CRM - Closeout Invoice Queue","Present","Present","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.CloseoutStatus","Choice","Choice","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.InvoiceStatus","Choice","Choice","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.PaymentStatus","Choice","Choice","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.DeliveryCompleteDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.ClientAcceptanceDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.InvoiceDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.InvoiceDueDate","DateTime","DateTime","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.InvoiceAmount","Currency","Currency","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.InvoiceNumber","Text","Text","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.InvoiceLink","URL","URL","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.FinalEvidenceLink","URL","URL","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.CloseoutNotes","Note","Note","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.NextAction","Note","Note","Pass","Fail"
"Column","CRM - Closeout Invoice Queue.ItemOwner","User","User","Pass","Fail"
"Lookup","CRM - Closeout Invoice Queue.OrganizationLookup","Lookup -> CRM - Organizations","Lookup","Pass","Fail"
"Lookup","CRM - Closeout Invoice Queue.EngagementLookup","Lookup -> CRM - Engagements","Lookup","Pass","Fail"
"View","CRM - Closeout Invoice Queue / Closeout / Invoice Watch","Present + query","Present + query","Pass","Fail"
"View","CRM - Closeout Invoice Queue / Ready to Invoice","Present + query","Present + query","Pass","Fail"
"View","CRM - Closeout Invoice Queue / Payment Follow-up","Present + query","Present + query","Pass","Fail"
"View","CRM - Closeout Invoice Queue / Closed Out","Present + query","Present + query","Pass","Fail"
"List","CRM - Organizations","Present","Present","Pass","Fail"
"List","CRM - Contacts","Present","Present","Pass","Fail"
"List","CRM - Engagements","Present","Present","Pass","Fail"
"Blocked field","SourceMailbox","Absent or hidden","Absent","Pass","Fail"
"Blocked field","SourceMessageId","Absent or hidden","Absent","Pass","Fail"
"Blocked field","ReceivedDate","Absent or hidden","Absent","Pass","Fail"
"Blocked field","IntakeStatus","Absent or hidden","Absent","Pass","Fail"
"Blocked field","DurableHome","Absent or hidden","Absent","Pass","Fail"
"Blocked field","PlannerTaskUrl","Absent or hidden","Absent","Pass","Fail"
"Blocked field","CentralOSLink","Absent or hidden","Absent","Pass","Fail"
"Blocked field","GraphNodeId","Absent or hidden","Absent","Pass","Fail"
"Blocked field","AgentConfidence","Absent or hidden","Absent","Pass","Fail"
"Blocked field","op_CalendarEventId","ShowInNewForm=false AND ShowInEditForm=false","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Fail","Fail"
"Blocked field","op_PlannerTaskId","ShowInNewForm=false AND ShowInEditForm=false","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Fail","Fail"
"Blocked field","op_LastSyncedDue","ShowInNewForm=false AND ShowInEditForm=false","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Fail","Fail"
"Blocked field","op_SyncNote","ShowInNewForm=false AND ShowInEditForm=false","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Fail","Fail"
"Intake field","Title","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","PersonName","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","PersonEmail","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","OrganizationName","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","SignalType","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","IntakeSource","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","Priority","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","NeedSummary","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","SourceText","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","NextAction","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","FollowUpDueDate","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","RelatedLink","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","SignalStatus","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","ItemOwner","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","op_Reminders","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Intake field","op_TrackOn","Visible on new+edit form","ShowInNewForm=DefaultTrue; ShowInEditForm=DefaultTrue","Pass","Fail"
"Required field","Title","Required=True","Required=True","Pass","Fail"
"Required field","SignalType","Required=True","Required=True","Pass","Fail"
"Required field","IntakeSource","Required=True","Required=True","Pass","Fail"
"Required field","Priority","Required=True","Required=True","Pass","Fail"
"Required field","NeedSummary","Required=True","Required=True","Pass","Fail"
"Required field","SourceText","Required=True","Required=True","Pass","Fail"
"Required field","NextAction","Required=True","Required=True","Pass","Fail"
"Required field","SignalStatus","Required=True","Required=True","Pass","Fail"
"Page","operationsCockpit","Present","Present","Pass","Fail"
"Page legacy link","operationsCockpit","No legacy Intake Register link in body","None","Pass","Fail"
"Page","crmCommandCenter","Present","Present","Pass","Fail"
"Page legacy link","crmCommandCenter","No legacy Intake Register link in body","None","Pass","Fail"
"Navigation","QuickLaunch","No node routes to legacy Intake Register NewForm","None found","Pass","Fail"
