"List","View","Fields","RowLimit","Query"
"CRM - Organizations","Relationship Review Queue","LinkTitle; RelationshipStatus; CRMStatus; AccountTier; OperationalHealth; Priority; PrimaryOwner; NextAction; NextActionDueDate; LastReviewed","100","<Where><And><Neq><FieldRef Name='CRMStatus' /><Value Type='Choice'>Archived</Value></Neq><Neq><FieldRef Name='RelationshipStatus' /><Value Type='Choice'>Archived</Value></Neq></And></Where><OrderBy><FieldRef Name='NextActionDueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
"CRM - Organizations","Strategic Relationships","LinkTitle; OrganizationType; RelationshipStatus; AccountTier; OperationalHealth; PrimaryOwner; NextAction; NextActionDueDate","100","<Where><Eq><FieldRef Name='AccountTier' /><Value Type='Choice'>Strategic</Value></Eq></Where><OrderBy><FieldRef Name='OperationalHealth' Ascending='FALSE' /><FieldRef Name='NextActionDueDate' Ascending='TRUE' /></OrderBy>"
"CRM - Contacts","Contact Follow-up Queue","LinkTitle; OrganizationLookup; ContactEmail; RelationshipRole; CommunicationStatus; ContactBoundary; Priority; NextAction; NextActionDueDate; LastContacted","100","<Where><And><Neq><FieldRef Name='CommunicationStatus' /><Value Type='Choice'>Do not contact</Value></Neq><Neq><FieldRef Name='CommunicationStatus' /><Value Type='Choice'>Archived</Value></Neq></And></Where><OrderBy><FieldRef Name='NextActionDueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
"CRM - Contacts","Key People","LinkTitle; OrganizationLookup; RoleTitle; RelationshipRole; PreferredChannel; CommunicationStatus; NextAction","100","<Where><Or><Or><Eq><FieldRef Name='RelationshipRole' /><Value Type='Choice'>Sponsor</Value></Eq><Eq><FieldRef Name='RelationshipRole' /><Value Type='Choice'>Decision maker</Value></Eq></Or><Eq><FieldRef Name='RelationshipRole' /><Value Type='Choice'>Champion</Value></Eq></Or></Where><OrderBy><FieldRef Name='OrganizationLookup' Ascending='TRUE' /></OrderBy>"
"CRM - Engagements","Daily CRM Queue","LinkTitle; OrganizationLookup; PrimaryContactLookup; EngagementStage; ExecutionStage; CRMStatus; RiskLevel; OperationalHealth; Priority; NextAction; NextActionDueDate","100","<Where><Or><Or><Eq><FieldRef Name='CRMStatus' /><Value Type='Choice'>Waiting on Adam</Value></Eq><Eq><FieldRef Name='CRMStatus' /><Value Type='Choice'>At Risk</Value></Eq></Or><Leq><FieldRef Name='NextActionDueDate' /><Value Type='DateTime'><Today /></Value></Leq></Or></Where><OrderBy><FieldRef Name='NextActionDueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
"CRM - Engagements","Pipeline by Stage","LinkTitle; OrganizationLookup; DecisionStatus; EntryPackage; TargetPackage; EngagementStage; EstimatedValue; ProbabilityPercent; DecisionDueDate; NextAction","100","<Where><And><Neq><FieldRef Name='EngagementStage' /><Value Type='Choice'>Alumni / Archived</Value></Neq><Neq><FieldRef Name='EngagementStage' /><Value Type='Choice'>Paused / Lost</Value></Neq></And></Where><OrderBy><FieldRef Name='EngagementStage' Ascending='TRUE' /><FieldRef Name='DecisionDueDate' Ascending='TRUE' /></OrderBy>"
"CRM - Engagements","Delivery Control","LinkTitle; OrganizationLookup; CurrentPackage; EngagementStage; ExecutionStage; OperationalHealth; RiskLevel; TargetGoLiveDate; NextMilestone; NextAction","100","<Where><Or><Or><Or><Eq><FieldRef Name='EngagementStage' /><Value Type='Choice'>Onboarding</Value></Eq><Eq><FieldRef Name='EngagementStage' /><Value Type='Choice'>Active Delivery</Value></Eq></Or><Eq><FieldRef Name='EngagementStage' /><Value Type='Choice'>Sustainment</Value></Eq></Or><Eq><FieldRef Name='ExecutionStage' /><Value Type='Choice'>Blocked</Value></Eq></Or></Where><OrderBy><FieldRef Name='TargetGoLiveDate' Ascending='TRUE' /><FieldRef Name='RiskLevel' Ascending='FALSE' /></OrderBy>"
"CRM - Engagements","Decision Deadlines","LinkTitle; OrganizationLookup; PrimaryContactLookup; DecisionStatus; DecisionDueDate; EstimatedValue; ProbabilityPercent; NextAction","100","<Where><IsNotNull><FieldRef Name='DecisionDueDate' /></IsNotNull></Where><OrderBy><FieldRef Name='DecisionDueDate' Ascending='TRUE' /></OrderBy>"
"CRM - Stakeholder Map","Stakeholder Attention","LinkTitle; EngagementLookup; ContactLookup; StakeholderRole; DecisionRole; InfluenceLevel; EngagementLevel; Sentiment; RelationshipRisk; NextAction","100","<Where><Or><Or><Eq><FieldRef Name='RelationshipRisk' /><Value Type='Choice'>High</Value></Eq><Eq><FieldRef Name='RelationshipRisk' /><Value Type='Choice'>Critical</Value></Eq></Or><Eq><FieldRef Name='EngagementLevel' /><Value Type='Choice'>Resistant</Value></Eq></Or></Where><OrderBy><FieldRef Name='RelationshipRisk' Ascending='FALSE' /><FieldRef Name='InfluenceLevel' Ascending='FALSE' /></OrderBy>"
"CRM - Touchpoints","Follow-ups Due","LinkTitle; TouchpointDate; EngagementLookup; ContactLookup; FollowUpDueDate; Priority; NextAction; ItemOwner","100","<Where><And><Eq><FieldRef Name='FollowUpRequired' /><Value Type='Boolean'>1</Value></Eq><Leq><FieldRef Name='FollowUpDueDate' /><Value Type='DateTime'><Today /></Value></Leq></And></Where><OrderBy><FieldRef Name='FollowUpDueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
"CRM - Touchpoints","Relationship History","LinkTitle; TouchpointDate; EngagementLookup; ContactLookup; Channel; Direction; TouchpointOutcome; Summary","100","<OrderBy><FieldRef Name='TouchpointDate' Ascending='FALSE' /></OrderBy>"
"CRM - Lifecycle Checklist","Go-Live / Offramp Blockers","LinkTitle; EngagementLookup; ChecklistPhase; Workstream; ChecklistItem; DueDate; ChecklistStatus; RequiredForGoLive; BlocksOfframp; NextAction","100","<Where><And><Neq><FieldRef Name='ChecklistStatus' /><Value Type='Choice'>Complete</Value></Neq><Or><Eq><FieldRef Name='RequiredForGoLive' /><Value Type='Boolean'>1</Value></Eq><Eq><FieldRef Name='BlocksOfframp' /><Value Type='Boolean'>1</Value></Eq></Or></And></Where><OrderBy><FieldRef Name='DueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
"CRM - Lifecycle Checklist","Checklist Due","LinkTitle; EngagementLookup; ChecklistPhase; Workstream; ChecklistItem; DueDate; ChecklistStatus; Priority; ItemOwner","100","<Where><And><Leq><FieldRef Name='DueDate' /><Value Type='DateTime'><Today /></Value></Leq><Neq><FieldRef Name='ChecklistStatus' /><Value Type='Choice'>Complete</Value></Neq></And></Where><OrderBy><FieldRef Name='DueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
